Date	Price	Open	High	Low	Vol.	Change %
17-Aug-99	42.28	42.72	42.75	41.47	51.75M	0.28%
18-Aug-99	42.5	42.22	43.09	42.03	58.36M	0.52%
19-Aug-99	41.91	42.28	42.56	41.56	71.48M	-1.39%
20-Aug-99	41.69	42	42.39	41.53	46.07M	-0.52%
23-Aug-99	43.22	42.16	43.31	41.94	60.45M	3.67%
24-Aug-99	46.09	43.53	46.75	43.53	120.45M	6.64%
25-Aug-99	47.66	46.81	48	46.59	81.88M	3.41%
26-Aug-99	47.31	47.69	48.19	46.84	61.25M	-0.73%
27-Aug-99	46.62	47.53	47.56	46.19	41.95M	-1.46%
30-Aug-99	46.12	46.44	46.72	45.78	33.30M	-1.07%
31-Aug-99	46.28	45.91	46.56	45.06	46.88M	0.35%
1-Sep-99	46.19	46.16	46.72	45.81	36.61M	-0.19%
2-Sep-99	45.91	45.75	46.28	45.34	33.34M	-0.61%
3-Sep-99	47.94	46.88	48.22	46.75	52.10M	4.42%
7-Sep-99	47.12	47.44	48.34	46.88	47.03M	-1.71%
8-Sep-99	46.12	46.84	47.34	46.03	42.57M	-2.12%
9-Sep-99	47.03	46.22	47.07	45.9	38.48M	1.97%
10-Sep-99	47.5	47.53	47.66	47	34.46M	1.00%
13-Sep-99	46.94	47.25	47.41	46.69	27.87M	-1.18%
14-Sep-99	47.53	46.84	47.78	46.81	40.21M	1.26%
15-Sep-99	46.31	47.75	47.88	46.19	48.41M	-2.57%
16-Sep-99	47	46.44	47.03	45.31	45.80M	1.49%
17-Sep-99	48.22	47.19	48.25	46.91	79.77M	2.60%
20-Sep-99	48.78	48	48.94	47.5	48.60M	1.16%
21-Sep-99	47.31	48.28	48.28	47.06	47.08M	-3.01%
22-Sep-99	48.03	47.38	48.31	46.84	48.53M	1.52%
23-Sep-99	45.59	48.44	48.44	45.01	71.07M	-5.08%
24-Sep-99	45.47	45.09	45.69	44.44	70.28M	-0.26%
27-Sep-99	45.72	46	46.47	45.44	34.13M	0.55%
28-Sep-99	46.06	45.62	46.34	44.53	46.00M	0.74%
29-Sep-99	44.75	45.78	46.06	44.56	37.48M	-2.84%
30-Sep-99	45.28	45	45.84	44.41	47.46M	1.18%
1-Oct-99	44.99	45.09	45.31	44.16	44.24M	-0.64%
4-Oct-99	46.28	45.25	46.31	45.12	30.00M	2.87%
5-Oct-99	45.91	46.38	46.94	44.75	43.40M	-0.80%
6-Oct-99	46.84	46.16	47	46.03	35.50M	2.03%
7-Oct-99	46.88	46.84	47.53	46.34	46.04M	0.09%
8-Oct-99	47.47	46.75	47.59	46.06	35.70M	1.26%
11-Oct-99	47.16	47.31	47.5	47.06	19.94M	-0.65%
